id_sensor,device_type,commissioning_date,status,building_name,floor,location,id_gateway,dev_eui,join_eui,app_key,frequency_plan
co2-03-01,CO2,2025-09-09,1,Levallois-Building,3,"Floor 3",leva-rpi-mantu,A81758FFFE0D615D,,,EU_863_870_TTN
co2-03-02,CO2,2025-09-09T09:40:46.252311Z,1,Levallois-Building,3,"Floor 3",leva-rpi-mantu,A81758FFFE08E12F,,,EU_863_870_TTN
co2-03-03,CO2,2025-09-09T09:40:47.293656Z,1,Levallois-Building,3,"Floor 3",leva-rpi-mantu,A81758FFFE0D5B43,,,EU_863_870_TTN
conso-squid-03-01,CONSO,2025-09-09T09:40:48.354486Z,1,Levallois-Building,3,"Floor 3",leva-rpi-mantu,70B3D54750121261,,,EU_863_870_TTN
count-03-01,COUNT,2025-09-09T09:40:49.348063Z,1,Levallois-Building,3,"Floor 3",leva-rpi-mantu,24E124716F198877,,,EU_863_870_TTN
desk-03-01,DESK,2025-06-23T09:55:17.508666Z,1,Levallois-Building,3,"Floor 3",leva-rpi-mantu,A81758FFFE0D7BAD,,,EU_863_870_TTN
desk-03-02,DESK,2025-06-23T10:08:46.972727Z,1,Levallois-Building,3,"Floor 3",leva-rpi-mantu,A81758FFFE0D7BA4,,,EU_863_870_TTN
desk-03-03,DESK,2025-06-23T10:10:33.427591Z,1,Levallois-Building,3,"Floor 3",leva-rpi-mantu,A81758FFFE0D7BA5,,,EU_863_870_TTN
desk-03-04,DESK,2025-06-23T10:12:11.858339Z,1,Levallois-Building,3,"Floor 3",leva-rpi-mantu,A81758FFFE0D7BA6,,,EU_863_870_TTN
desk-03-05,DESK,2025-06-23T10:15:01.249712Z,1,Levallois-Building,3,"Floor 3",leva-rpi-mantu,A81758FFFE0D7BA7,,,EU_863_870_TTN
desk-03-06,DESK,2025-06-23T10:17:37.243739Z,1,Levallois-Building,3,"Floor 3",leva-rpi-mantu,A81758FFFE0D7BA8,,,EU_863_870_TTN
desk-03-07,DESK,2025-06-23T10:19:26.281951Z,1,Levallois-Building,3,"Floor 3",leva-rpi-mantu,A81758FFFE0D7BA9,,,EU_863_870_TTN
desk-03-08,DESK,2025-06-23T10:21:31.280676Z,1,Levallois-Building,3,"Floor 3",leva-rpi-mantu,A81758FFFE0D7BAA,,,EU_863_870_TTN
