id_sensor,timestamp,value_battery,rssi,fport,fcntup,snr,fcntdown,sf,frequency_offset
dev_eui_001,2023-01-01,3.7,-90,1,10,12.5,5,7,0.5
dev_eui_002,2023-02-01,3.8,-85,1,11,13.0,4,7,0.6
dev_eui_003,2023-03-01,3.6,-80,1,12,14.0,6,7,0.4
dev_eui_004,2023-04-01,3.5,-95,1,13,12.2,7,7,0.3
dev_eui_005,2023-05-01,3.9,-87,1,14,13.5,5,7,0.7
dev_eui_006,2023-06-01,3.7,-82,1,15,11.8,8,7,0.5
dev_eui_007,2023-07-01,3.6,-84,1,16,13.2,9,7,0.6
dev_eui_008,2023-08-01,3.8,-88,1,17,12.0,10,7,0.4
dev_eui_009,2023-09-01,3.5,-86,1,18,14.5,11,7,0.5
dev_eui_010,2023-10-01,3.7,-83,1,19,11.0,12,7,0.6
